## SLURM PROLOG ###############################################################
##    Job ID : 8517581
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 08:01:27 PM EST 2025
###############################################################################
obs (49,)
Network params number: 566929
timesteps=72 - 904, avg episodic return=10.00
timesteps=680 - 680, avg episodic return=0.00
timesteps=8 - 8, avg episodic return=10.00
timesteps=1064 - 1064, avg episodic return=10.00
timesteps=1160 - 1160, avg episodic return=0.00
timesteps=1128 - 2024, avg episodic return=-15.00
timesteps=2760 - 2760, avg episodic return=-10.00
timesteps=2408 - 2408, avg episodic return=10.00
timesteps=3848 - 3848, avg episodic return=10.00
timesteps=3912 - 3912, avg episodic return=10.00
timesteps=4264 - 4264, avg episodic return=20.00
timesteps=4136 - 4136, avg episodic return=10.00
timesteps=5320 - 5320, avg episodic return=10.00
timesteps=5960 - 5960, avg episodic return=10.00
timesteps=5224 - 5224, avg episodic return=10.00
timesteps=6376 - 6376, avg episodic return=10.00
timesteps=6472 - 6600, avg episodic return=20.00
timesteps=6632 - 6632, avg episodic return=0.00
timesteps=6952 - 6952, avg episodic return=0.00
timesteps=7752 - 7752, avg episodic return=30.00
timesteps=8360 - 8360, avg episodic return=20.00
timesteps=8712 - 8712, avg episodic return=10.00
timesteps=8232 - 8648, avg episodic return=25.00
timesteps=11080 - 11080, avg episodic return=-10.00
timesteps=11080 - 11080, avg episodic return=10.00
timesteps=10408 - 10408, avg episodic return=-10.00
timesteps=12264 - 12264, avg episodic return=-30.00
timesteps=11752 - 11752, avg episodic return=20.00
timesteps=11304 - 11432, avg episodic return=-6.67
timesteps=12904 - 12904, avg episodic return=30.00
timesteps=13160 - 13160, avg episodic return=10.00
timesteps=13032 - 13032, avg episodic return=10.00
timesteps=14024 - 14024, avg episodic return=10.00
timesteps=14568 - 14568, avg episodic return=10.00
timesteps=16360 - 16360, avg episodic return=-20.00
timesteps=16264 - 16264, avg episodic return=-20.00
timesteps=16712 - 16712, avg episodic return=-70.00
timesteps=18088 - 18088, avg episodic return=-100.00
timesteps=18504 - 18536, avg episodic return=-35.00
timesteps=19208 - 19208, avg episodic return=-10.00
timesteps=20488 - 20488, avg episodic return=-30.00
timesteps=22408 - 22408, avg episodic return=-10.00
timesteps=22120 - 22120, avg episodic return=20.00
timesteps=22792 - 22792, avg episodic return=0.00
timesteps=23144 - 23304, avg episodic return=10.00
timesteps=24136 - 24392, avg episodic return=-5.00
timesteps=25288 - 25288, avg episodic return=-30.00
timesteps=26184 - 26184, avg episodic return=-30.00
timesteps=27112 - 27112, avg episodic return=0.00
timesteps=27272 - 27272, avg episodic return=0.00
timesteps=26856 - 26856, avg episodic return=0.00
timesteps=28296 - 28584, avg episodic return=0.00
timesteps=29512 - 29512, avg episodic return=20.00
timesteps=28840 - 29096, avg episodic return=10.00
timesteps=29896 - 29896, avg episodic return=10.00
timesteps=30504 - 30504, avg episodic return=10.00
timesteps=30728 - 31656, avg episodic return=10.00
timesteps=31112 - 31592, avg episodic return=0.00
timesteps=30888 - 31240, avg episodic return=15.00
timesteps=31560 - 31560, avg episodic return=20.00
timesteps=32296 - 32296, avg episodic return=10.00
timesteps=33160 - 33160, avg episodic return=0.00
timesteps=33448 - 33448, avg episodic return=-50.00
timesteps=33864 - 34280, avg episodic return=5.00
timesteps=35624 - 35624, avg episodic return=10.00
timesteps=35240 - 35240, avg episodic return=-50.00
timesteps=34920 - 34920, avg episodic return=20.00
timesteps=36552 - 36552, avg episodic return=-30.00
timesteps=35880 - 35880, avg episodic return=10.00
timesteps=37832 - 37832, avg episodic return=20.00
timesteps=37608 - 37608, avg episodic return=10.00
timesteps=38376 - 38376, avg episodic return=10.00
timesteps=39592 - 39592, avg episodic return=20.00
timesteps=39496 - 39624, avg episodic return=-70.00
timesteps=40904 - 40904, avg episodic return=10.00
timesteps=41288 - 41288, avg episodic return=-10.00
timesteps=42536 - 42536, avg episodic return=-30.00
timesteps=44808 - 44808, avg episodic return=10.00
timesteps=44360 - 44392, avg episodic return=-10.00
timesteps=44072 - 44072, avg episodic return=10.00
timesteps=45288 - 45288, avg episodic return=10.00
timesteps=46440 - 46440, avg episodic return=10.00
timesteps=47336 - 47336, avg episodic return=-10.00
timesteps=48776 - 48776, avg episodic return=10.00
timesteps=48520 - 48520, avg episodic return=10.00
timesteps=48136 - 48264, avg episodic return=15.00
timesteps=49256 - 49256, avg episodic return=-160.00
timesteps=50920 - 50920, avg episodic return=-10.00
timesteps=52360 - 52360, avg episodic return=10.00
timesteps=53704 - 53960, avg episodic return=10.00
timesteps=53448 - 53608, avg episodic return=5.00
timesteps=54664 - 54664, avg episodic return=10.00
timesteps=54888 - 54888, avg episodic return=20.00
timesteps=54664 - 54664, avg episodic return=0.00
timesteps=55784 - 55784, avg episodic return=-90.00
